DateTime,Year,Month,Day,Parma,Lucky
10/1/1971,1971,10,1,1980,1223
10/2/1971,1971,10,2,1960,1287.75
10/3/1971,1971,10,3,1830,1217.17
10/4/1971,1971,10,4,1780,1307.92
10/5/1971,1971,10,5,1720,1232.29
10/6/1971,1971,10,6,1650,1227.25
10/7/1971,1971,10,7,1570,1303.96
10/8/1971,1971,10,8,1580,1209.67
10/9/1971,1971,10,9,1460,1002.96
10/10/1971,1971,10,10,1390,1224.79
10/11/1971,1971,10,11,1370,1149.17
10/12/1971,1971,10,12,1300,1063.46
10/13/1971,1971,10,13,1350,1002.96
10/14/1971,1971,10,14,1550,795.92
10/15/1971,1971,10,15,1500,1047.67
10/16/1971,1971,10,16,1460,1077.92
10/17/1971,1971,10,17,1310,1082.96
10/18/1971,1971,10,18,1230,1012.38
10/19/1971,1971,10,19,1370,1284.63
10/20/1971,1971,10,20,1420,1082.96
10/21/1971,1971,10,21,1340,1259.42
10/22/1971,1971,10,22,1330,1093.04
10/23/1971,1971,10,23,1310,1077.92
10/24/1971,1971,10,24,1280,997.25
10/25/1971,1971,10,25,1240,1022.46
10/26/1971,1971,10,26,1260,1162.13
10/27/1971,1971,10,27,1260,988.04
10/28/1971,1971,10,28,1140,935.71
10/29/1971,1971,10,29,1080,885.29
10/30/1971,1971,10,30,1060,1001.25
10/31/1971,1971,10,31,1080,1112.17
11/1/1971,1971,11,1,1050,1139.75
11/2/1971,1971,11,2,1040,1158.58
11/3/1971,1971,11,3,1120,906.5
11/4/1971,1971,11,4,1150,967
11/5/1971,1971,11,5,1150,956.92
11/6/1971,1971,11,6,1130,891.38
11/7/1971,1971,11,7,1130,795.58
11/8/1971,1971,11,8,1130,1037.58
11/9/1971,1971,11,9,1130,992.21
11/10/1971,1971,11,10,1100,949.13
11/11/1971,1971,11,11,1090,1006.88
11/12/1971,1971,11,12,1060,1037.13
11/13/1971,1971,11,13,1060,1107.92
11/14/1971,1971,11,14,1050,1212
11/15/1971,1971,11,15,999,1111.17
11/16/1971,1971,11,16,938,939.75
11/17/1971,1971,11,17,918,924.63
11/18/1971,1971,11,18,911,788.5
11/19/1971,1971,11,19,893,914.54
11/20/1971,1971,11,20,887,899.42
11/21/1971,1971,11,21,874,1171.67
11/22/1971,1971,11,22,867,884.29
11/23/1971,1971,11,23,856,994.79
11/24/1971,1971,11,24,869,982.13
11/25/1971,1971,11,25,915,1082.96
11/26/1971,1971,11,26,1020,1347.42
11/27/1971,1971,11,27,1290,1299.29
11/28/1971,1971,11,28,1140,1445.5
11/29/1971,1971,11,29,1110,1232.38
11/30/1971,1971,11,30,1130,1067.83
12/1/1971,1971,12,1,1090,972.04
12/2/1971,1971,12,2,1050,725
12/3/1971,1971,12,3,1060,1077.92
12/4/1971,1971,12,4,1050,961.96
12/5/1971,1971,12,5,1080,1410.67
12/6/1971,1971,12,6,1230,1481.25
12/7/1971,1971,12,7,1190,906.5
12/8/1971,1971,12,8,1070,649.38
12/9/1971,1971,12,9,1090,1022.46
12/10/1971,1971,12,10,1080,1080.58
12/11/1971,1971,12,11,1040,1176.71
12/12/1971,1971,12,12,959,1201.92
12/13/1971,1971,12,13,912,1160.25
12/14/1971,1971,12,14,890,1289.67
12/15/1971,1971,12,15,924,1042.63
12/16/1971,1971,12,16,950,1198.92
12/17/1971,1971,12,17,940,916.58
12/18/1971,1971,12,18,937,992.21
12/19/1971,1971,12,19,931,936.75
12/20/1971,1971,12,20,924,1057.75
12/21/1971,1971,12,21,905,1198.92
12/22/1971,1971,12,22,956,1229.17
12/23/1971,1971,12,23,1030,1198.92
12/24/1971,1971,12,24,1050,1188.83
12/25/1971,1971,12,25,1010,1294.71
12/26/1971,1971,12,26,1010,1355.21
12/27/1971,1971,12,27,964,1249.33
